"Plot Title: 20750527-SHSC.WSM.SGT.240720"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 20750527, SEN S/N: 20750527, LBL: 5)","Temp, °C (LGR S/N: 20750527, SEN S/N: 20750527, LBL: 25)","Temp, °C (LGR S/N: 20750527, SEN S/N: 20750527, LBL: 50)","Temp, °C (LGR S/N: 20750527, SEN S/N: 20750527, LBL: 100)","Host Connected (LGR S/N: 20750527)","End Of File (LGR S/N: 20750527)"
1,07/20/24 09:00:00 PM,7.217,2.423,-0.032,-1.470,,
2,07/20/24 09:30:00 PM,11.759,6.712,-0.060,-1.470,,
3,07/20/24 10:00:00 PM,11.467,5.257,-0.060,-1.470,,
4,07/20/24 10:30:00 PM,11.029,4.428,-0.088,-1.470,,
5,07/20/24 11:00:00 PM,10.907,4.011,-0.088,-1.470,,
6,07/20/24 11:30:00 PM,10.883,3.775,-0.088,-1.470,,
7,07/21/24 12:00:00 AM,10.907,3.617,-0.116,-1.470,,
8,07/21/24 12:30:00 AM,10.956,3.512,-0.116,-1.470,,
9,07/21/24 01:00:00 AM,11.029,3.459,-0.143,-1.470,,
10,07/21/24 01:30:00 AM,11.127,3.406,-0.143,-1.498,,
11,07/21/24 02:00:00 AM,11.200,3.354,-0.143,-1.498,,
12,07/21/24 02:30:00 AM,11.248,3.327,-0.171,-1.498,,
13,07/21/24 03:00:00 AM,11.321,3.301,-0.171,-1.470,,
14,07/21/24 03:30:00 AM,11.346,3.301,-0.171,-1.498,,
15,07/21/24 04:00:00 AM,11.394,3.301,-0.171,-1.470,,
16,07/21/24 04:30:00 AM,11.419,3.301,-0.199,-1.470,,
17,07/21/24 05:00:00 AM,11.419,3.301,-0.199,-1.498,,
18,07/21/24 05:30:00 AM,11.419,3.301,-0.199,-1.470,,
19,07/21/24 06:00:00 AM,11.419,3.301,-0.227,-1.470,,
20,07/21/24 06:30:00 AM,11.394,3.327,-0.227,-1.498,,
21,07/21/24 07:00:00 AM,11.370,3.327,-0.227,-1.470,,
22,07/21/24 07:30:00 AM,11.321,3.354,-0.227,-1.498,,
23,07/21/24 08:00:00 AM,11.273,3.354,-0.227,-1.498,,
24,07/21/24 08:30:00 AM,11.200,3.380,-0.255,-1.470,,
