"Plot Title: 20750527-SHSC.WSM.SGT.240720"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 20750527, SEN S/N: 20750527, LBL: 5)","Temp, °C (LGR S/N: 20750527, SEN S/N: 20750527, LBL: 25)","Temp, °C (LGR S/N: 20750527, SEN S/N: 20750527, LBL: 50)","Temp, °C (LGR S/N: 20750527, SEN S/N: 20750527, LBL: 100)","Host Connected (LGR S/N: 20750527)","Stopped (LGR S/N: 20750527)","End Of File (LGR S/N: 20750527)"
1,24/07/20 21:00:00,7.217,2.423,-0.032,-1.470,,,
2,24/07/20 21:30:00,11.759,6.712,-0.060,-1.470,,,
3,24/07/20 22:00:00,11.467,5.257,-0.060,-1.470,,,
4,24/07/20 22:30:00,11.029,4.428,-0.088,-1.470,,,
5,24/07/20 23:00:00,10.907,4.011,-0.088,-1.470,,,
6,24/07/20 23:30:00,10.883,3.775,-0.088,-1.470,,,
7,24/07/21 00:00:00,10.907,3.617,-0.116,-1.470,,,
8,24/07/21 00:30:00,10.956,3.512,-0.116,-1.470,,,
9,24/07/21 01:00:00,11.029,3.459,-0.143,-1.470,,,
10,24/07/21 01:30:00,11.127,3.406,-0.143,-1.498,,,
11,24/07/21 02:00:00,11.200,3.354,-0.143,-1.498,,,
12,24/07/21 02:30:00,11.248,3.327,-0.171,-1.498,,,
13,24/07/21 03:00:00,11.321,3.301,-0.171,-1.470,,,
14,24/07/21 03:30:00,11.346,3.301,-0.171,-1.498,,,
15,24/07/21 04:00:00,11.394,3.301,-0.171,-1.470,,,
16,24/07/21 04:30:00,11.419,3.301,-0.199,-1.470,,,
17,24/07/21 05:00:00,11.419,3.301,-0.199,-1.498,,,
18,24/07/21 05:30:00,11.419,3.301,-0.199,-1.470,,,
19,24/07/21 06:00:00,11.419,3.301,-0.227,-1.470,,,
20,24/07/21 06:30:00,11.394,3.327,-0.227,-1.498,,,
21,24/07/21 07:00:00,11.370,3.327,-0.227,-1.470,,,
22,24/07/21 07:30:00,11.321,3.354,-0.227,-1.498,,,
23,24/07/21 08:00:00,11.273,3.354,-0.227,-1.498,,,
24,24/07/21 08:30:00,11.200,3.380,-0.255,-1.470,,,
25,24/07/21 09:00:00,11.127,3.406,-0.255,-1.498,,,
26,24/07/21 09:30:00,11.029,3.433,-0.255,-1.498,,,
27,24/07/21 10:00:00,10.956,3.433,-0.255,-1.498,,,
28,24/07/21 10:30:00,10.858,3.459,-0.255,-1.470,,,
29,24/07/21 11:00:00,10.761,3.459,-0.255,-1.498,,,
30,24/07/21 11:30:00,10.638,3.485,-0.283,-1.498,,,
31,24/07/21 12:00:00,10.541,3.485,-0.283,-1.498,,,
32,24/07/21 12:30:00,10.467,3.512,-0.283,-1.498,,,
33,24/07/21 13:00:00,10.369,3.538,-0.283,-1.498,,,
34,24/07/21 13:30:00,10.296,3.538,-0.283,-1.498,,,
35,24/07/21 14:00:00,10.222,3.538,-0.283,-1.498,,,
36,24/07/21 14:30:00,10.149,3.564,-0.311,-1.498,,,
37,24/07/21 15:00:00,10.100,3.564,-0.311,-1.498,,,
38,24/07/21 15:30:00,10.051,3.564,-0.311,-1.498,,,
39,24/07/21 16:00:00,10.026,3.564,-0.311,-1.498,,,
40,24/07/21 16:30:00,10.026,3.564,-0.311,-1.498,,,
41,24/07/21 17:00:00,10.026,3.564,-0.311,-1.498,,,
42,24/07/21 17:30:00,10.026,3.564,-0.311,-1.498,,,
43,24/07/21 18:00:00,10.075,3.564,-0.311,-1.498,,,
44,24/07/21 18:30:00,10.124,3.538,-0.311,-1.498,,,
45,24/07/21 19:00:00,10.198,3.538,-0.339,-1.498,,,
46,24/07/21 19:30:00,10.247,3.538,-0.339,-1.498,,,
47,24/07/21 20:00:00,10.345,3.512,-0.339,-1.498,,,
48,24/07/21 20:30:00,10.418,3.538,-0.339,-1.498,,,
49,24/07/21 21:00:00,10.516,3.512,-0.339,-1.498,,,
50,24/07/21 21:30:00,10.614,3.512,-0.339,-1.498,,,
51,24/07/21 22:00:00,10.736,3.512,-0.339,-1.470,,,
52,24/07/21 22:30:00,10.858,3.512,-0.339,-1.498,,,
53,24/07/21 23:00:00,10.980,3.512,-0.339,-1.498,,,
54,24/07/21 23:30:00,11.102,3.512,-0.339,-1.498,,,
55,24/07/22 00:00:00,11.248,3.512,-0.367,-1.498,,,
56,24/07/22 00:30:00,11.370,3.512,-0.339,-1.498,,,
57,24/07/22 01:00:00,11.492,3.512,-0.367,-1.498,,,
58,24/07/22 01:30:00,11.613,3.512,-0.367,-1.498,,,
59,24/07/22 02:00:00,11.734,3.512,-0.367,-1.498,,,
60,24/07/22 02:30:00,11.832,3.538,-0.367,-1.498,,,
61,24/07/22 03:00:00,11.929,3.538,-0.367,-1.470,,,
62,24/07/22 03:30:00,12.001,3.564,-0.367,-1.498,,,
63,24/07/22 04:00:00,12.074,3.564,-0.367,-1.498,,,
64,24/07/22 04:30:00,12.122,3.591,-0.367,-1.498,,,
65,24/07/22 05:00:00,12.171,3.591,-0.367,-1.470,,,
66,24/07/22 05:30:00,12.171,3.617,-0.367,-1.498,,,
67,24/07/22 06:00:00,12.171,3.617,-0.367,-1.470,,,
68,24/07/22 06:30:00,12.171,3.643,-0.395,-1.470,,,
69,24/07/22 07:00:00,12.147,3.670,-0.395,-1.470,,,
70,24/07/22 07:30:00,12.122,3.696,-0.395,-1.498,,,
71,24/07/22 08:00:00,12.074,3.696,-0.395,-1.470,,,
72,24/07/22 08:30:00,12.025,3.722,-0.395,-1.470,,,
