file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,diagnostic_flags_LI-7500,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,AGC_LI-7500,variances,,,,,,,covariances,,,,custom_variables,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,ch4_flux,qc_ch4_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,chopper_LI-7500,detector_LI-7500,pll_LI-7500,sync_LI-7500,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_AGC_LI-7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,air_p_mean,diag_75_mean,ch4_mean,fast_t_mean,diag_77_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--
not_enough_data,2024-07-25,03:00,207.125,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2024_07_25_0245.ecf32,2024-07-25,03:30,207.1458,1,36000,36000,-0.771864,1,-12000.5,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,286.698,286.698,101189.,1.22961,1005.40,0.235560E-01,-9999,-9999,-9999,1547.55,-9999,-9999,-9999,-9999,-1.15958,1.12586,0.546102,1.70598,0.540775E-13,-0.621470E-12,1.70598,4.65040,254.006,135.845,18.6681,-9999,0.792296,1.14058,3.63975,0.855140,-9999,12.2520,0,44.0033,-6.67767,15.1049,37.6133,57.3627,80.4520,120.532,-0.755094,1.02221,-11483.1,1.04506,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,800000009,800000019,800000009,811000009,800001119,800001119,899999999,899999999,89999,89999,89,89,7,21,0,15,1,6,0,6015,10051,7996,9686,0,0,0,0,0,0,1112,0,14688,18000,18000,14718,32445,21069,21069,14688,57,0.529865,0.700941,1.05036,161.938,-9999,-9999,-9999,-9.28867,-9999,-9999,-9999,206939.,79.0287,25.0695,19.4113,21.0919
2024_07_25_0330.ecf32,2024-07-25,04:00,207.1666,1,36000,36000,-0.385457E-01,0,23.4520,0,76.2121,0,-3.04352,0,1.73039,0,0.709439E-01,0,21.9990,-9999,-9999,-9999,-9999,0.208124E-10,0.866648E-12,0.102889E-12,16.5242,405.152,412.105,0.00000,0,688.084,16.8709,17.1604,0.00000,0,0.816896E-01,2.01514,2.04972,0.150000,0,298.368,296.778,101173.,1.18016,1014.85,0.245187E-01,0.112129,0.123993E-01,1698.19,2907.76,0.105065E-01,58.4020,1209.57,288.097,-1.31667,1.56295,-0.480645E-01,2.04419,0.492764E-13,0.125951E-14,2.04419,5.00586,262.919,130.112,-1.34730,-9999,0.180725,0.243319,-22.1689,-0.140399,0.307720,-0.108348,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.382119E-01,1.00874,27.7234,1.01271,69.9096,1.04325,-4.63092,1.04325,1.58729,1.04325,0.550937E-01,1.06208,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,14,12,2,6,3,4,0,0,0,0,0,0,4,0,0,0,0,1199,0,0,0,0,29,35727,35727,35727,0,63,0.268227,0.166835,0.515758E-01,0.749368E-01,0.238842E-02,1436.07,0.539187E-06,0.231476E-01,-0.463092E-02,1.58729,0.550937E-04,101790.,56.2500,1.99713,24.4590,40.5650
2024_07_25_0400.ecf32,2024-07-25,04:30,207.1874,1,36000,36000,-0.549747E-01,0,11.1865,0,102.066,0,-3.25826,0,2.31693,0,0.815629E-01,0,-0.456652,1.28188,-0.157406E-01,0.290991E-01,0.245756E-03,0.387564E-11,0.165215E-12,0.192051E-13,16.5225,404.940,412.053,0.00000,0,704.342,17.2623,17.5655,0.00000,0,0.818749E-01,2.01845,2.05390,0.150000,0,298.195,296.569,101157.,1.18063,1015.06,0.245084E-01,0.150137,0.126922E-01,1737.09,2871.28,0.107504E-01,60.4988,1134.19,288.449,-1.49234,1.76948,-0.314381E-01,2.31498,0.557761E-13,0.234567E-15,2.31498,4.85301,262.565,130.144,-0.778117,-9999,0.215787,0.304398,-79.1098,-0.393440E-01,0.109601,-0.432577E-01,0,48.9340,-7.42592,16.7974,41.8280,63.7904,89.4669,134.038,-0.545213E-01,1.00832,17.1297,1.01275,94.8617,1.04717,-4.49930,1.04717,2.15339,1.04717,0.667114E-01,1.06558,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,9,25,0,0,4,5,0,0,0,0,0,0,3,0,0,0,0,1199,0,0,0,0,30,35746,35746,35746,0,63,0.351545,0.197505,0.597450E-01,0.783146E-01,0.170967E-02,1768.57,0.593782E-06,0.142937E-01,-0.449930E-02,2.15339,0.667114E-04,101778.,56.2500,1.99752,24.0098,40.0040
2024_07_25_0430.ecf32,2024-07-25,05:00,207.2083,1,36000,36000,-0.395355E-01,0,10.8416,0,59.4157,0,-2.70147,0,1.34815,0,0.618721E-01,0,-1.02140,2.49091,-0.437930E-01,0.565188E-01,0.582061E-03,-0.172572E-10,-0.769131E-12,-0.859873E-13,16.5203,404.352,411.773,0.00000,0,736.288,18.0214,18.3522,0.00000,0,0.823155E-01,2.02626,2.06345,0.150000,0,297.797,296.102,101155.,1.18213,1015.47,0.244761E-01,0.873598E-01,0.132679E-01,1813.01,2791.27,0.112237E-01,64.9530,978.257,289.117,-0.959306,1.89240,-0.573378E-01,2.12243,-0.201867E-13,-0.104461E-14,2.12243,4.13615,275.975,116.882,-1.54804,-9999,0.182878,0.175550,-49.6917,-0.626363E-01,0.182471,-0.493855E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.391985E-01,1.00860,14.2506,1.01271,54.9239,1.04438,-3.58824,1.04438,1.24623,1.04438,0.511448E-01,1.06308,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,20,4,0,1,17,42,0,0,0,0,0,0,1,0,0,0,0,1194,0,0,0,0,30,35838,35838,35838,0,63,0.187994,0.108039,0.550671E-01,0.494510E-01,0.135563E-02,603.930,0.410082E-06,0.118713E-01,-0.358824E-02,1.24623,0.511448E-04,101777.,56.2500,2.00305,23.4005,39.3237
2024_07_25_0500.ecf32,2024-07-25,05:30,207.2291,1,36000,36000,-0.467920E-01,1,2.75072,1,57.4572,1,-1.53278,1,1.30356,1,0.684107E-01,1,-0.249038,0.378833,-0.861058E-01,0.859479E-02,0.314023E-02,0.786521E-10,0.353798E-11,0.401234E-12,16.4785,403.196,410.644,0.00000,0,741.249,18.1368,18.4719,-0.500000E-01,0,0.840633E-01,2.06842,2.10663,0.500000E-01,0,297.693,295.988,101154.,1.18252,1015.53,0.244680E-01,0.844708E-01,0.133573E-01,1824.53,2772.08,0.112956E-01,65.8180,947.552,289.216,-1.66835,1.05024,0.665894E-02,1.97141,0.206024E-12,0.477300E-14,1.97141,3.77054,244.050,147.809,0.193532,-9999,0.198922,0.269745,-252.057,-0.123484E-01,0.478742E-01,-0.115149E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.463801E-01,1.00888,6.14866,1.01272,53.8926,1.04222,-2.09453,1.04222,1.22269,1.04222,0.597059E-01,1.06117,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,3,3,0,53,27,38,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,40,35806,35806,35806,0,63,0.221525,0.271917,0.460476E-01,0.123064E-01,0.103947E-02,450.323,0.106028E-05,0.512010E-02,-0.209453E-02,1.22269,0.597059E-04,101777.,56.2500,2.04003,22.9205,38.0945
2024_07_25_0530.ecf32,2024-07-25,06:00,207.2499,1,36000,36000,-0.320834E-01,1,3.33267,1,25.4286,1,-0.226964,1,0.576731,1,0.261696E-01,1,-0.713333,1.87338,-0.130389,0.424890E-01,0.677169E-02,-0.536219E-10,-0.249870E-11,-0.286837E-12,16.4217,401.447,409.100,-0.500000E-01,0,765.229,18.7069,19.0635,-0.500000E-01,0,0.878439E-01,2.15926,2.20042,0.500000E-01,0,297.419,295.662,101151.,1.18354,1015.84,0.244461E-01,0.373722E-01,0.137894E-01,1881.47,2717.76,0.116510E-01,69.2288,836.289,289.699,-1.43230,0.595849,0.113331E-01,1.55134,-0.723223E-13,-0.326530E-14,1.55134,3.34593,234.835,157.412,0.418573,-9999,0.164645,0.131875,-117.974,-0.263829E-01,0.131060,-0.168358E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.317637E-01,1.01007,4.81528,1.01306,23.7706,1.03655,-0.589570,1.03655,0.539126,1.03655,0.219532E-01,1.05625,800000009,800000009,800000009,800000009,800001009,800001009,899999999,899999999,89999,89999,89,89,4,22,2,33,33,28,0,0,0,0,0,0,6,0,0,0,0,1200,0,0,23360,0,30,35675,35675,35675,0,63,0.164364,0.713913E-01,0.279948E-01,0.126693E-01,0.399991E-03,237.153,0.196750E-05,0.400509E-02,-0.589570E-03,0.539126,0.219532E-04,101776.,56.2500,2.12691,22.4154,35.9258
2024_07_25_0600.ecf32,2024-07-25,06:30,207.2707,1,36000,36000,-0.218641E-01,1,-8.89181,2,33.2086,1,-0.738512,1,0.752775,1,0.106509,1,-1.23001,2.12923,-0.166065,0.482655E-01,0.101255E-01,-0.231695E-09,-0.112319E-10,-0.132489E-11,16.3593,399.223,407.102,0.500000E-01,0,793.056,19.3532,19.7352,-0.100000,0,0.935467E-01,2.29484,2.34013,0.500000E-01,0,296.916,295.102,101157.,1.18557,1016.19,0.244034E-01,0.487798E-01,0.142909E-01,1946.19,2626.53,0.120540E-01,74.0976,680.334,290.232,-1.10689,0.362838,0.113256E-01,1.16490,-0.255569E-13,-0.141629E-13,1.16490,2.20839,231.476,161.851,0.557062,-9999,0.135801,0.535398E-01,24.8148,0.125429,-0.267756,0.543482E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.216721E-01,1.00886,-6.78279,1.01568,32.0330,1.04407,-0.601585,1.04407,0.726126,1.04407,0.990623E-01,1.07557,800000009,800000019,800000009,800000009,800001009,800001019,899999999,899999999,89999,89999,89,89,18,52,2,11,35,42,0,0,0,0,0,0,41,0,0,0,0,1200,0,0,35640,0,30,35640,35640,35640,0,63,0.638945E-01,0.286376E-01,0.145475E-01,0.565139E-01,0.507611E-03,531.124,0.746996E-05,-0.562997E-02,-0.601585E-03,0.726126,0.990623E-04,101779.,56.2500,2.25417,21.5139,32.5801
2024_07_25_0630.ecf32,2024-07-25,07:00,207.2916,1,36000,36000,-0.844226E-02,1,3.13890,2,16.1232,2,-0.817828,2,0.365194,2,-0.604093E-01,2,-1.79510,-0.578188,0.158256E-01,-0.130961E-01,0.182888E-01,0.105840E-09,0.508177E-11,0.669825E-12,16.4156,399.434,407.244,0.00000,1,788.177,19.1784,19.5534,-0.100000,0,0.103889,2.53903,2.58867,0.00000,1,296.079,294.287,101165.,1.18903,1016.08,0.243326E-01,0.236646E-01,0.142029E-01,1928.88,2498.73,0.119450E-01,77.1942,569.855,290.091,-1.10762,0.264972,-0.256997E-01,1.13917,-0.454745E-14,0.644750E-14,1.13917,2.27063,226.433,166.546,-1.29271,-9999,0.842623E-01,0.470245E-01,-16.7927,-0.185348,0.194681,-0.308336E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.834013E-02,1.01225,4.06110,1.01414,15.0304,1.03182,-1.07360,1.03182,0.340441,1.03182,-0.595308E-01,1.05240,800000009,800000009,800000009,800000009,800001009,800001009,899999999,899999999,89999,89999,89,89,16,40,7,6,15,7,0,0,0,0,0,0,202,0,0,0,0,1200,0,0,35868,0,40,35868,35868,35868,0,63,0.531658E-01,0.325787E-01,0.830439E-02,0.853391E-01,0.691382E-02,1050.37,0.339737E-04,0.336143E-02,-0.107360E-02,0.340441,-0.595308E-04,101794.,56.2500,2.49237,20.4593,29.3889
